title,company-name,location,type,salary_package,company_requirements
Evaluator,SANTUSHTI SHAKES PRIVATE LIMITED,"Vadodara, Gujarat",,"₹20,000 - ₹36,000","Evaluate the entire audit process, from planning and risk assessment to fieldwork and reporting, to ensure that it aligns with best practices and meets…"
Office Administrator,Cult fit,"HSR Layout Sector 2, Bengaluru, Karnataka",Full-time,,"* Assisting in Accounts related work.
* Sim cards and Broad band Management.
HSR Layout Sector 2, Bengaluru, Karnataka: Reliably commute or planning to…"
E-Commerce Executive,YCE Digital Private Limited,"Pitampura, Delhi, Delhi",,,"Your role will involve collaboration with various teams, including key account management, marketing and operations to ensure a seamless online shopping…"
Chat Support Executive,BLAZERS IO TECHNOLOGIES PRIVATE LIMITED,"Tirunelveli, Tamil Nadu",,"₹18,000","Stay updated with the latest industry trends, technologies, and best practices.
Ensure a high level of customer satisfaction by providing excellent support…"
Surveyor,Astute Insurance surveyor & loss assessors pvt ltd,"Delhi, Delhi",Full-time,,"Research and design methods for survey processes.
Report on survey results and present findings to client.
Conduct surveys on properties claims marine fire etc."
Customer Support Executive (CSE),Whizlabs Software Pvt Ltd,"Coimbatore District, Tamil Nadu",,,"Out of the box thinking on improving the customer satisfaction with brilliant communication and bring the repeated customers.
Total work: 1 year (Required)."
Customer Relationship Officer (CRO),Quantean,"Udipi, Karnataka",,"₹20,000 - ₹30,000","Responsible for submission of complete application form, documentations and information.
Responsible for enhancing the customer experience by developing and…"
Data Analytics Fresher,RP2,"Kochi, Kerala",Full-time ,,"Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Fee Incharge,Presidium School,"Ghaziabad, Uttar Pradesh",,,"Ensure accurate recording of all transactions and maintain up-to-date financial records.
Should be fluent in English.
Job Types: Full-time, Permanent."
Site Supervisor,BALAJI CONSTRUCTION,"Chaibasa, Jharkhand",,"₹25,000 - ₹70,000","Ensure compliance with safety regulations, company policies, and industry standards.
Knowledge of safety regulations and industry standards."
Social Media Executive,tofuu media,"Andheri, Mumbai, Maharashtra",Full-time,,"Social media marketing: 3 years (Required).
Understand the basics of all social media platforms and daily posting.
Strategize and ideate for campaigns."
Data Entry Operator,Destination Ads,"Tilak Nagar, Delhi, Delhi",,,"Proven data entry work experience, as a Data Entry Operator or Office Clerk.
Excellent knowledge of correct spelling, grammar, and punctuation."
International Chat Process - Day Shift,KundKund Trading and Consultancy,"Ghaziabad, Uttar Pradesh",,"Up to ₹4,00,000","Taking initiatives & tasks effectively to deliver business results.
Engaging with the clients & generating the set targeted revenue."
Customer Care Executive,Grow Hopes,"Mansarovar, Jaipur, Rajasthan",Full-time,,"Travel Time: Shorter travel time within the city allows for personal time for hobbies, higher studies, or leisure activities.
Total work: 1 year (Preferred)."
Stores Assistant,International Transmission Ltd,"Shahapur, Thane, Maharashtra",,,"Candidate Must have Computer Knowledge i.e. Proficient in MS Word Excel & Power Point & Internet Operations.
Should Have Keen Interest In Related Field."
"Officer, Customer Service Officer, Consumer Banking Group",DBS Bank,Tamil Nadu,Full-time,,"Process customer service requests, Respond to customer service account inquiries such as account balances, transaction details, statements and fees/charges."
Content Writer,Impresario Global,Remote,,"₹18,000 - ₹25,000","This role requires a strong understanding of B2B2C communication, an agile mindset, and a design thinking approach.
Job Types: Full-time, Part-time."
Female Office Coordinator for Noida,Glowfin,"Noida, Uttar Pradesh",Full-time,,"Proven experience in an administrative role or similar position.
Coordinate with vendors and service providers for office-related needs."
Quality Control,Emil Pharmaceutical,"Borivali East, Mumbai, Maharashtra",,,"Experience : 0 – 3 years, Freshers can apply too Openings :…"
voice process,Walinns Innovation - Tidel Park,"Coimbatore, Tamil Nadu",,"₹15,000 - ₹22,000","Handle incoming calls or chats to address customer queries.
Update customer information including contact information and purchasing preferences."
Office Administrator,Plastomake,"Vapi, Gujarat",Full-time,,"Microsoft Office: 5 years (Preferred).
Total work: 8 years (Preferred)."
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",Full-time,,"Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",Full-time,,Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹10,000 - ₹30,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",Full-time,,*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,,"We are looking for Machine Maintenance Staff with 10 to 15 years experience.
Experience with machinery, pneumatic systems and simple electrical knowledge…"
Data Entry Operator,Destination Ads,"Tilak Nagar, Delhi, Delhi",,"₹12,000 - ₹17,500","Organizational skills, with an ability to stay focused on the assigned task.
Pay: ₹10,000.00 - ₹15,000.00 per month.
Embark on a rewarding career journey."
Stores Assistant,International Transmission Ltd,"Shahapur, Thane, Maharashtra",Full-time,,"Pay: ₹12,000.00 - ₹17,500.00 per month.
Experience : 1-2 Yrs of Experience as Stores Assistant in a reputed Manufacturing Company."
International Chat Process - Day Shift,KundKund Trading and Consultancy,"Ghaziabad, Uttar Pradesh",,,"Salary– Up to 3 LPA.
Taking initiatives & tasks effectively to deliver business results.
Engaging with the clients & generating the set targeted revenue."
Customer Care Executive,Grow Hopes,"Mansarovar, Jaipur, Rajasthan",,"₹27,000 - ₹32,000","Travel Time: Shorter travel time within the city allows for personal time for hobbies, higher studies, or leisure activities.
Working Days: 6 days a week."
Customer support associate,Genesis HR Services,"Bengaluru, Karnataka",Full-time,,"As an International Customer Support Associate , you will be the primary point of contact for our international clients, assisting them with their inquiries,…"
"Officer, Customer Service Officer, Consumer Banking Group",DBS Bank,Tamil Nadu,,,"Our financial solutions are not only the best in the business – they were made just for you.
As the leading bank in Asia, DBS Consumer Banking Group is in a…"
Content Writer,Impresario Global,Remote,,"₹19,600 - ₹44,166","If you're a creative content writer with a flair for brand storytelling and a passion for making a social impact, we'd love to hear from you!"
Female Office Coordinator for Noida,Glowfin,"Noida, Uttar Pradesh",Full-time ,,"Proven experience in an administrative role or similar position.
Pay: ₹18,000.00 - ₹25,000.00 per month.
Discretion and confidentiality in handling sensitive…"
Quality Control,Emil Pharmaceutical,"Borivali East, Mumbai, Maharashtra",,,"Experience : 0 – 3 years, Freshers can apply too."
voice process,Walinns Innovation - Tidel Park,"Coimbatore, Tamil Nadu",Full-time,,"Handle incoming calls or chats to address customer queries.
Update customer information including contact information and purchasing preferences."
Office Administrator,Plastomake,"Vapi, Gujarat",,"₹18,000 - ₹25,000","Please note we are not looking for anyone in the accounts department,.
Pay: ₹15,000.00 - ₹22,000.00 per month.
Microsoft Office: 5 years (Preferred)."
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",Full-time,,"We want you to be able to bring your best self to work every day, which is why we take equality and inclusion seriously and hold ourselves to account for our…"
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,,"Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹15,000 - ₹22,000","Do you have experience in pneumatic systems and simple electrical systems?
Pay: ₹18,000.00 - ₹20,000.00 per month.
Knowledge in PLC is a plus."
International Chat Process - Day Shift,KundKund Trading and Consultancy,"Ghaziabad, Uttar Pradesh",,"₹27,000 - ₹32,000","Taking initiatives & tasks effectively to deliver business results.
Engaging with the clients & generating the set targeted revenue."
Customer support associate,Genesis HR Services,"Bengaluru, Karnataka",,,"As an International Customer Support Associate , you will be the primary point of contact for our international clients, assisting them with their inquiries,…"
"Officer, Customer Service Officer, Consumer Banking Group",DBS Bank,Tamil Nadu,,"₹19,600 - ₹44,166","Process customer service requests, Respond to customer service account inquiries such as account balances, transaction details, statements and fees/charges."
Content Writer,Impresario Global,Remote,Full-time ,,"This role requires a strong understanding of B2B2C communication, an agile mindset, and a design thinking approach.
Job Types: Full-time, Part-time."
Female Office Coordinator for Noida,Glowfin,"Noida, Uttar Pradesh",,,"Proven experience in an administrative role or similar position.
Coordinate with vendors and service providers for office-related needs."
Quality Control,Emil Pharmaceutical,"Borivali East, Mumbai, Maharashtra",Full-time,,"Experience : 0 – 3 years, Freshers can apply too Openings :…"
voice process,Walinns Innovation - Tidel Park,"Coimbatore, Tamil Nadu",,"₹18,000 - ₹25,000","Handle incoming calls or chats to address customer queries.
Update customer information including contact information and purchasing preferences."
Data Science Internship,CodingcloudInstitute,"Ahmedabad, Gujarat",,,"Candidate can join us for summer program.
Long time or short time program.
Higher Secondary(12th Pass) (Preferred)."
Travel & Events Admin,Simpled International Education,"Lucknow, Uttar Pradesh",,"₹15,000 - ₹22,000","This position requires excellent customer service skills, attention to detail, and the ability to handle multiple tasks effectively."
Field Associate (Tinsukia),Hukhi,"Tinsukia, Assam",Full-time,,As a Field Associate you will play a pivotal role in our organization by effectively engaging with people and driving sales of Hukhi's premier products and…
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹25,000 - ₹30,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
